image_id,prompt,category
sa_1545721,A woman is sitting on top on a wooden bench with a bag in hand. Behind her is a shop with 2 bins on the counter. The items in the background are stacked neatly.,dci
sa_1545722,A tropical area with a couple of different buildings the building in the back has a white and brown roof and is tall while the close building has a thatched roof and some brown poles on it. They are surrounded by palm trees and a road runs in front of them,dci
sa_1545723,"A line of three charter buses with the brand Panturist written on them, are traveling together on a road. ",dci
sa_1545724,Brick buildings are lined up in a row. There are bare trees in front of the buildings.,dci
sa_1545726,A river with dark green colored water runs along the center of a marketplace-type area. ,dci
sa_1545729,Boat sitting in museum area in front of people in back with glass panels with objects behind them on both sides.,dci
sa_1545731,An industrial section of a city with a factory that is emitting smog into the air. There are some various tall and smaller buildings in the background as well as cars on streets below. ,dci
sa_1545732,Singer with a very colorful shirt ,dci
sa_1545734,Rickshaw rides on the boardwalk,dci
sa_1545738,A bright day with some clouds in the sky there are 5 fenced in silos that are blue green and yellow. The fence running around them is covered at the top with wire and there is red signs along the sides of it,dci
sa_1545742,"This is a soccer game in Asia. There is a man in a blue uniform kicking the ball and a guy in a white uniform playing defense. They are on a well manicured pitch, with advertising walls in the background. Behind the advertisements, there are hedges, and atop the hedges are bleachers of fans.",dci
sa_1545743,Dancers wearing traditional Asian style red dresses are dancing. All of the dancers are blurry from motion.,dci
sa_1545744,"This is the outside of what appears to be some sort of asian store. It's the traditional asian style, with large overhangs and a sign in front. There are black signs with white lettering to show what's for sale.",dci
sa_1545745,"This is a temple or something that's carved into the side of a rock face. It has decorative pillars, an entrance, and many extravagant details. The entrance is blocked by glass panels, which means this is most likely a museum now or something for tourists to see but not go into.",dci
sa_1545746,People walk past stores in a building.  A souvenir store on the left has multiple items for sale on display. ,dci
sa_1545748,Many people are sitting on a ledge. There are tents on the sand.,dci
sa_1545750,"This is a building with an ornate front. The roof includes three tiers and a parapet in the middle, that juts above the whole structure. It has a background of sky and white clouds",dci
sa_1545752,This image shows an overhead view of some buildings in a forested area. The buildings are mostly brown in color with triangular roofs.,dci
sa_1545754,Buildings line the left side of a street.  Cars are parked are parked around the houses.,dci
sa_1545755,"A man standing in a driveway in front of two houses, one behind him and one to his right.  There are two cars and motorcycles in the driveway, and trees and a hill in the background.",dci
sa_1545756,A close-up of a child's drawing on green paper. There is a cutout dove above it and the light blue sky in the background. ,dci
sa_1545757,An aerial shot of a water slide that's mostly blue colored with an orange outside. It snakes around some stone towers and a rock structure. ,dci
sa_1545759,"A store selling fresh cut durian fruits on wooden shelves, some are packaged individually in plastic trays while some are sold in full size. ",dci
sa_1545761,A wide river flows under a bridge. A city is visible in the background. ,dci
sa_1545763,A group of Buildings all with a white face besides the brick red building on the end in front of them is a square with a couple of people walking and a handful of trees in front of each of the buildings,dci
sa_1545764,A low and long business sign made of concrete and set in a park like setting.,dci
sa_1545766,A photo of the interior of a small overstocked store selling underwear and different accessories.,dci
sa_1545768,We are in a terminal with a lot of listings on lightboard up above that is black with a lot of yellow orange letters on them. There is a blue sign that says King's Cross there also and  behind the windows there are more buildings visible.,dci
sa_1545769,A large open area with a massive rounded stadium. There is a courtyard-like are with all of the nations flags on poles in a circular formation. The weather is clear and people are dressed in short sleeved clothing.,dci
sa_1545770,A square rock wall with stairs going down into the opening in the middle and a large tree branch bowed over the top,dci
sa_1545774,Four large wheels on some kind of heavy duty vehicle sitting in grass. Lower part of vehicles  frame is visible. ,dci
sa_1545776,"A mound of colorful flowers in a grass median on a city street.  At the top of the mound is a red and white statue, and on either side of the grass median is a city street with pedestrians and tall buildings.",dci
sa_1545778,"A city crowded with buildings, with a cloudy sky above",dci
sa_1545780,"There is a group of people in black running a little exercise for little kids, with two little kids punching.",dci
sa_1545782,This is a green tank in a parking lot on a clear day.  Many people are standing around it.,dci
sa_1545783,This is a boat that is on the shore.  The boat is blue and has a grassy roof and a motor on it.,dci
sa_1545785,On a beach with two boats on the shore that are both red and yellow it is the afternoon with a lot of orange in the sky and the open sea in out there,dci
sa_1545788,A large multi-windowed building with potted plants out front and an A-Frame out front. There is one open door all the way to the left and the rest closed.,dci
sa_1545789,There is a city street with tall buildings on both sides.,dci
sa_1545790,A display of Japanese mythological figures sits above a crowd.,dci
sa_1545794,A picket type of fence going across the left and right of the image and is on the sand beach. In the background is seven different houses.,dci
sa_1545795,A red white and blue public transit vehicle on a concrete bridge,dci
sa_1545796,A white van parked on the street in front of a nondescript building.,dci
sa_1545797,"Beautiful ornate buildings with maroon colored roofs and dome, set behind an iron fence.  A line of trees are situated between a sidewalk near the fence and a street.",dci
sa_1545798,Train track run across the ground. There are trains and buildings.,dci
sa_1545799,A lake that is blue with a lot of green in it also close to the camera are two boats and further away there are a couple of more boats that are docked on the buildings on the water ,dci
sa_1545801,"A large chateau-style public building overlooking a large bank of conrete steps, a lawn, and a walking path.",dci
sa_1545802,A selection of a variety of name brand makeup including lipsticks and foundation are displayed in a store. ,dci
sa_1545804,A busy korean street and intersection with many people walking and a korean flag seen flying from a building on the left. There are may cars driving through and a blue bus also. The building in the back is a brick building also,dci
sa_1545807,This is an ornate building made of white stone. It looks like an old church with an addition to the right. The background is a building on the right and a big blue sky above.,dci
sa_1545809,"The area is in a very large city in a metropolitan area filled with buildings and skyscrapers, as well as some trees. The sky has an orange color, indicating that it is close for the sun to set.",dci
sa_1545810,Several appliances stand in the foreground. There are people on the left and right hand sides.  ,dci
sa_1545811,Stone statue of woman with a cart and ropes in front of an old stone building left of a walking woman and modern building.,dci
sa_1545812,A picturesque sunny scene of lush green bushes and bountiful hydrangeas almost in bloom.,dci
sa_1545813,This is plant with purple flowers that are blooming.,dci
sa_1545816,"This is a picture of two men serving food out of a small truck. They have two people sitting in front of their truck either waiting for food or waiting to order. They are looking at the menu. The truck has a green sign and is white, with a fold-down flap in the back to serve from. The truck is parked on a street, with a sidewalk behind it and in front of several buildings",dci
sa_1545817,This is a scene where there are several houses standing on the side of a hill.  There are trees at the top and it seems to be fall.,dci
sa_1545818,An open roadway with an eightteen wheeler driving right on it. In the background there are a lot of shipping containers and a couple of cars with another eighteen wheeler visible in the parking lot,dci
sa_1545821,"A row of cars are parked on a street next to a river with a large bridge going across it. On the other side of the river, a city is visible with numerous buildings. ",dci
sa_1545822,Four offroad vehicles in front of some tents on a grassy field. There is a Series 2 club sign and some multicolored pennants.,dci
sa_1545824,"In the foreground is an open air plaza filled with many groups of people. In the background a row of older buildings stands in front of tall, modern skyscrapers.",dci
sa_1545825,The ywllow wall of a building that is very torn up there are six window visible the window on the bottom has brown rusted bars on it. The roof is a type of brown wood tile design,dci
sa_1545826,Various forms of ceramic tile and wood that is connected to one another to form the side of a building. ,dci
sa_1545827,A statue of a mother cow and a calf displayed in an outdoor setting.,dci
sa_1545828,A group of twenty Asian men and women pose for a photo on a black brick plaza. There are tourists and a tan brick building with arched windows in the background,dci
sa_1545829,Many people are walking around buildings and shops. There is a pagoda in the back.,dci
sa_1545834,It is the image of the undercarriage of a car.,dci
sa_1545835,There are two roadways that are near a covered area that is in the water.,dci
sa_1545836,A group of people who look like they are participating in a marathon are moving down a street. ,dci
sa_1545841,"This is an old world inner city walkway that is lined with shops and restaurant tables.   The street is filled with four story, brightly painted row houses.",dci
sa_1545842,a hand is holding a Samsung mobile phone with the application download screen for the game Pokémon Go. there is foliage in the background.,dci
sa_1545843,People who are drinking at three tables and people that are also drinking on a black sofa. The background has very colorful walls one of which is blue polka dots and then pink and white lightning ,dci
sa_1545844,A man is running in a black shirt and shorts; he has a water bottle in hand and is wearing a 6066 sign on his shirt. There is a woman in the back running too and they are running outside during the day on a gravel road.,dci
sa_1545846,It shows a classroom with some tables that have computers and a big screen at the end. There is a child at the computer.,dci
sa_1545849,This is a coastal scene from an overhead view.  There are several large houses in the area.,dci
sa_1545851,There is a big gray building in the center. There are people walking around and other buildings around it. ,dci
sa_1545854,This is a statue that is standing behind a white fenced area.  There are people sitting on the steps near the statue.,dci
sa_1545856,A crowd of people are gathered together and looking at something on the left. ,dci
sa_1545857,A cloudy bright blue sky where a green jet is seen and people are in the process of boarding it. There are a handful of vehicles visible on the tarmac and a bright green field in the distance,dci
sa_1545858,A silver car is parked on the side of the street. There are trees behind the car,dci
sa_1545860,A one way road that is split into three lanes with four signs visible less visible on the right side is another road that is going the opposite direction. There is a bridge below the highway above also,dci
sa_1545863,"A woman wearing a blue and white tube top and skirt is holding a black sign that says ""2 KIKI OPT"" with her hand on her hip. There is a car behind her and various people in the background, as well as a white umbrella.",dci
sa_1545864,A large square with a big cross like sculpture made of stone in the front to the right of it is a cathedral with a rounded top and a cross on top of it also. In the background there is a giant circus tent like building with another cross in front of it,dci
sa_1545865,"An aerial view from a distance of a large castle estate atop a hill, small town below, and river flowing nearby under a well built bridge. ",dci
sa_1545866,A large Christmas tree is on the ground. There are buildings lining the background,dci
sa_1545867,"A picture of a temple or building sitting near some trees with orange, yellow, and red leaves. The sky is cloudy, but you can see some blue.",dci
sa_1545868,"there is a golden carousel in the middle of a public square. there are people, trees, and a couple of large buildings in the background. it is daytime. ",dci
sa_1545869,Woman is standing on her right toes in a type of post in the background there are a handful of trees and plants visible she is standing on what looks like a stone patio,dci
sa_1545871,This is a restaurant with two point of service computers on the counter.  There are two white menus on the wall behind the counter.,dci
sa_1545873,A brick house is sitting to the right of the image. The trees around it are orange colored indicating it is likely in the fall.,dci
sa_1545876,"This is a waterfront in a city. There are three boats in the water, one of which is a passenger transportation vessel. The background includes a bunch of buildings that mostly form triangle shapes. They all are brownish in color and include window and accents on them",dci
sa_1545880,A large sky view shot of  large residential neighborhood with a lot of building visible all about five stories high. They all have red and tan roofs with a bit yellowish on the paint. In the back there are taller buildings and there is water in the distant back also.,dci
sa_1545881,"This is a busy market area. It has buildings on both the right and left. In the middle of the buildings is a festival area of sorts, it includes red and yellow lanters strung up between the buildings. There are a ton of people in the foreground, with some trees over the area. There are also shrubs and a line of vespa's near them.",dci
sa_1545883,the sun is setting on a man righting his bicycle on a brick road. there is a bridge in the background,dci
sa_1545886,The top floor of a building that has pink flowers hanging from a balcony railing.  ,dci
sa_1545887,Man in decorative blue shirt and apron in a boat with green and orange plant grilling ears of corn.,dci
sa_1545890,A narrow street crowded with people. There are stores on both sides of the photo.,dci
sa_1545891,A rack of parked rental electric scooters.,dci
sa_1545892,A business district beside a curving road over a body of water,dci
sa_1545895,A close up view of a seet of headphones They arw white and there also a volume controller they are wired headphones sitting inside a plastic case on a wooden desk,dci
sa_1545896,Dirt path surrounded by green reeds with two flags on both sides and a blue sky with large white clouds.,dci
sa_1545897,"there is a map sign of an island. in the background, there are a lot of paintings for sale.",dci
sa_1545898,Two buses that are driving the opposite way on a two lane road. On the right there is a train railway with an orange train on the rail behind it,dci
sa_1545899,A scene of a day in the daylight where there is a a Ferris wheel in the background with palm trees. There is a statue of a person swinging on a swing. ,dci
sa_1545900,A close up of water where there are three fish that are swimming. There is rocks in the background and the water is very light,dci
sa_1545903,A European style building made of yellow concrete and stone that is shown from the face under a blue sky. ,dci
sa_1545905,A room with a lot of pillars most gold but two of them green also. There are three boys kneeling on the floor and a man in the center of the room also. ,dci
sa_1546487,Some people in a gym or auditorium,dci
sa_1546488,"The picture is of a man who is dressed up for a pride event. He's wearing a unicorn horn on his head, while riding an inflatable unicorn. He has a palm tree shirt on and is walking in the street. Behind him on the left is a tree and on the right is a stone looking old building",dci
sa_1546489,A very tall green-glassed high rise building. A smaller commercial multi-floor building it at it's base.,dci
sa_1546491,"A brown US Air Force staff sergeants patch with four inverted chevrons, dark brown, on a khaki background. The patch is on a piece of desert camo fabric.",dci
sa_1546493,A black and white video game controller on a plain white background.,dci
sa_1546494,There are three escalators in the background. There are many turnstiles in the front.,dci
sa_1546496,"This is a picture of a military parade. There are a lot of men in brown uniforms, with fancy hats, blue hats and red sashes. They have white boots and are marching in the middle of the street. Behind them is another parade of men, which are in white uniforms with red belts and turquoise hats. In the background of the image are large trees, with spectators behind a fence.",dci
sa_1546498,"This is some sort of elevator lift. It's an enclosed plexiglass structure, with red doors that slide in sideways and a red roof. In front of it is a metal gate that prevents people from boarding without the elevator being safe. On the right is a control panel with buttons for administering the elevator. In the background are trees, mountains and a clear sky with the sun shining.",dci
sa_1546503,This is a large white building with a formal type architecture.,dci
sa_1546504,A city inside of a bright green valley that has a dark blue and green river running through it with the bright sun shining off of the water on the left and right sides of the river there is a lot of buildings that are full of brown and white also. Connecting the two sides of the city is a gray and black bridge connecting them,dci
sa_1546505,Scramble Crossings in a Japanese downtown during a cloudy day in summer where pedestrians walking across the roads in various directions. There are several high rise buildings in the back and there is a giant LED board on the left.,dci
sa_1546506,"A canal with several small boats in it runs next to a line of buildings, including a hotel. ",dci
sa_1546509,This is a city street that has heavy rain falling down on it and the surrounding businesses.,dci
sa_1546511,"Three long, rectangular river cruise ships in a body of water. There are several houses built upon a hill in the background.",dci
sa_1546512,"A green, white, and red small airplane flies through the white sky. ",dci
sa_1546514,There is a large castle on the right side. There are many people sitting and standing.,dci
sa_1546515,"This is a picture of a yellow taxi - the most common remembered version of them - with a New York City T sign on the side. It's the standard Crown Victoria car, with a a-frame sign on the top, which is white. In the background, there are some traditional NYC looking buildings. There's a square building on the corner, which has people sitting inside of it and people on the corner looking like they're waiting for a car. The taxi is passing through an intersection, and in the background on the street coming to the intersection are a bunch of cars. There are streetlights and signs on poles in the background too, with a few trees.",dci
sa_1546516,This is a stack of eight books on a surface near a sunny area.,dci
sa_1546517,"An older man wearing a face mask is walking down a cobbled street. Behind him you can see another pedestrian, as well as two young adults sitting on a granite stone border around a garden bed.",dci
sa_1546521,"a  pier with blue deck chairs and white beach umbrellas just into the greenish blue sea. In the left and center background are many mediterranean type buildings, while a lot of small boat are on the right",dci
sa_1546523,"This is the breakwater restaurant and cafe on ocean drive in florida. It's a large three-story white building, with blue accents around the windows, three large breakwater signs, two vertical, and one horizontal. In the front are some green awnings and green umbrellas that protect the people sitting in the cafe. Under that are concrete sidewalks and a concrete street, with a yellow curb. In the street are several cars, both right and left, with the building framed between them.",dci
sa_1546526,Two window washers cleaning a very tall glass building.,dci
sa_1546527,"This is a canal. In the water, are passenger transportation boats. There are four of them with glass roofs. They are yellow and the top looks to be constructed of wood. They're real low-slung to the water. n the background is a street, on the riverbank. This has a long line of cars and a bus on it. Behind that, and way in the background are buildings. They are all three or four stories tall, and include a ton of windows. They're all constructed of brick, which some of brown and some is red",dci
sa_1546528,A pile of French fries spread out over the center of the image. There's three sauce cups to the bottom left.,dci
sa_1546530,Two animals lying on the ground,dci
sa_1546531,An orange older-looking Brazilian stamp. ,dci
sa_1546532,"A pair of men wearing biker jackets and talking.  One of the men is holding a little boy who is wearing a black and white striped beanie while his mom looks on, smiling.",dci
sa_1546536,A woman stands at the side of a noodle food vendor in a retail area. ,dci
sa_1546538,"The picture is a man with a missing leg, but has a prosthetic metal one, standing in front of another, fully able man. The right includes a large pole with holes going all the way up it. On the left in the foreground is a large box with hand holes in it. In the background are a few people standing around, with a rope restraint in front of a much larger crowd. There are trees behind the people, and a blue sky with clouds.",dci
sa_1546543,"A vibrant coastal town or city on the ocean. Filled with buildings that are orange, yellow, and red hues.",dci
sa_1546544,"This is the skyline of a European city. On the left of the image is a pink building, with a decorative lightpole sticking out, and some white accent pieces along the middle. It has a domed entrance and three windows on the second story. In the center left is a ornate structure, purple and white. It has a large spire in the middle that has a turquoise top with a bell and ball at the top. To the right of that are three buildings, one is lime green and white, another is yellow and white and the third is red and white. they look similar. To the right of the image is another partial building that's pink and has the similar domed entrance and multiple windows. There's a sign instead of a light hanging off this one.",dci
sa_1546546,A display of star shaped lights hangs over a street. ,dci
sa_1546547,There are two large towers coming from a middle building. There is a building on the right as well.,dci
sa_1546548,An outdoor scene of a big multi-sectioned pool that is full of people swimming.  A big yellow building surrounds the pool.,dci
sa_1546549,It shows the back of a car. The car is black.,dci
sa_1546550,A group of giraffes and zebras occupy an enclosed area. There are buildings that can be seen along the background. ,dci
sa_1546551,"A smartphone sitting on the edge of a white table, with green carpet down below. ",dci
sa_1546553,A street view of a parade there is a float that is being pulled by a small blue tractor there are a ton of people on the sides of the road and a very tall green tree,dci
sa_1546555,People are walking down an alleyway that is lined on either side with buildings.,dci
sa_1546556,"The interior of a medium sized church. The church has high, curved ceilings and cream colored walls with white moulding.",dci
sa_1546558,A cluster of sky scrapers on the right side of the city and on the left side there are three sky scrapers also. In between both of the clusters there is a lake with the sky reflecting off of the left side of it. Close to the camera there is white buildings with four white poles and they are then connected by white tarps and white railings on the side,dci
sa_1546560,an elaborate sculpture of a mermaid is carved into the side of a large sand dune. there is a rope barrier in front of the sculpture.  ,dci
sa_1546561,"In the center of the image, there is a yellow sign for Fendi.  The Fendi sign is placed on top of a Fendi bag. ",dci
sa_1546562,The image shows the changing of the guards in Korea outside of a red building. There are men in red informs lined up facing a man in a red and blue uniform and a man in a black uniform.,dci
sa_1546564,"This is a picture of people standing at a conference. It's a man and woman in the foreground, with two men standing behind them and then multiple more people standing behind them. There are products on display in the background. There are also a lot of hanging signs from the ceiling, with advertisements. Near the ceiling are a ton of lights, with support beans in the rafters.",dci
sa_1546565,The top of a large skyscraper against the backdrop of the sky.,dci
sa_1546568,"This is a picture of a stall at some sort of fair. The items for sale look to be tribal. They include elephants on both sides. The remaining items are nick-nacks. The structure appears to be a kind of slum, with just a crude two by four structure, with different tarps over top. The inside includes some white cloth background. Many of the items are hung on the wall, but some hang from the ceiling, such as baskets and carpets or rugs",dci
sa_1546570,"This is a yellow door looking into a business. The door has three metal pipes on it - one is the handle and runs vertically where handles always go. The other two are horizontal and go over the window in the door. The top of the door includes a white sign with two arabic symbols on it. On top of the door, there are small windows that cut off in the image.",dci
sa_1546573,A river running alongside a town with attached buildings along the side,dci
sa_1546574,Plaza in between a couple of huge buildings there is a scaffolding set up made with black rails and bars in the center there are trees on the right and many glass windows also,dci
sa_1546577,There is a tall building with a lot of windows on the side against a blue sky. ,dci
sa_1546578,"This is a picture of a massive ship offloading cargo to a port. Coming out of the back of the ship is a semi truck, which is pulling a tank, which looks like it could carry liquit natural gas or oil or something. The back of the orange ship has a massive opening, with someone looking out. The ship is called the Jolly Arancione and is based out of Napoli. The massive ship is anchored with some massive ropes that come from the back. In the background are some containers, with a bunch of other industrial and shipping equipment. The boat is obviously in the water, with a massive concrete sea wall next to it.",dci
sa_1546581,"a hub of a ferris wheel with the sign, hubs, spoke and one car visible",dci
sa_1546582,Large cruise ship in front of large building in water near dock and bridge with people walking across,dci
sa_1546584,"A very large yellow, blue, and white docked cargo ship. There are two large stripped cranes unloading cargo from the ship.",dci
sa_1546586,The outside of a storefront. There are windows above it.,dci
sa_1546588,"A woman bends over a child in a stroller. In the background, there are a number of people and several white tents. ",dci
sa_1546589,A blue and white sea plane moves on the water next to several sailboats.,dci
sa_1546590,A shipping container ship sits in the center of a body of water. There are other boats and buildings along a port in the background.,dci
sa_1546591,A tall apartment building is seen under construction in a city with reflective glass windows. ,dci
sa_1546592,There is a brick building that has a tower in the middle. ,dci
sa_1546593,There are two women who are standing in front of four ballers those four ballers are also surrounded by plants and roses,dci
sa_1546595,A black and white photo featuring a pair of black sneakers and white socks worn by a man.  The shot is from the shins down and includes a blacktop background.,dci
sa_1546596,"A city street with cars parked along its sides and that are driving in both lanes. There are buildings on either side of the street, as well as buildings at the far end. ",dci
sa_1546597,A group of people stand in a long line on the grass.  Large clouds cover the sky above them. ,dci
sa_1546598,A man and two children on top of a hill. There is another hill in the background. The sky is mostly cloudy.,dci
sa_1546599,A large group of animal rights protesters with blurred faces are holding purple protest signs. There are some buildings in the background.,dci
sa_1546606,Two children wearing colorful outfits standing in front of concrete steps,dci
sa_1546608,"This is a corner is a narrow alleyway with a lamp under a brick half archway, the walls are smooth painted stucco.   There is a balcony with guardrail and slatted wooden doorway across the alley. ",dci
sa_1546609,"An open room with a dining table in the background, with a couch and desk in the foreground. Two men talk at right while a woman stands in the middle of the room to the right of another man.",dci
sa_1546610,There is an open sky with not a cloud in sight and it is not that bright either there is a manned vehicle attached to a glider also,dci
sa_1546611,"The picture is primarily of a Toyota van. It's parked alongside a sidewalk, near a road. It's white and includes headlights, a license plate, and windows. The van is modern looking. The sidewalk has a pole cut off on the right hand side. In the background on the right are more vehicles, parked in front of a fence and a larger brown building. Behind the van, above it, are overhead street lights. Behind the van are more cars parked along the curb line.",dci
sa_1546613,The skyline of a city during the nighttime can be seen along the background. There is a highway and parking lot in the foreground. ,dci
sa_1546615,Bicyclists are moving across a grassy area,dci
sa_1546616,A long pink hallway with lots of white lights that are on the left and the right side of the hallway. There are three people walking down the hallway ,dci
sa_1546619,A busy street a group of people walking away from the camera on the right sidewalk. There are storefronts on the right side of the street and there is a blue sign on the right side of the road,dci
sa_1546623,A bunch of people in animal costumes. There's an cartoony wall behind them.,dci
sa_1546625,A plane moves along the tarmac of an airport. Several other planes can be seen docked at terminals along the background. ,dci
sa_1546627,"It shows a white building with double green doors. In the front is grass and a tree, and there are a lot of bushes by the building. ",dci
sa_1546628,A rock outcropping above a crowded town,dci
sa_1546629,It shows a white snowy path going down in the middle. There are a lot of people and trees on either side. ,dci
sa_1546631,"the image is of the back view of a man sitting on a motorbike. he is talking to two individuals, one of which looks like a fellow rider. ",dci
sa_1546633,A close up of a phone and a laptop screen to the right of the phone it is sitting in the bottom floor of a house with windows in the front,dci
sa_1546636,A picture of a national park visitor center during the day. It is a brick building that is mostly brown and near some smaller trees/plants.,dci
sa_1546638,The rainbow colored metal exterior of a small building with a red window. ,dci
sa_1546641,Three farmers are out in a corn field during the day picking corn. ,dci
sa_1546642,A top down view of a building with tons of solar panelts on it and a highway with more buildings on the let and two skyscrapers visible also,dci
sa_1546644,"This is a vertical picture of a building. It's a gothic structure with some gargoils or something handind off the roof. At the pictures center is a large triptych glass window. The top of the window is ornate. The window area of the building is set back from the rest, with two juts of old stone sitting out. In the bottom left of the image is a tree branch.",dci
sa_1546645,"This is a tree that has fallen on a stone wall. The tree looks nearly perfect, but is on its side, with the stone wall under the massive trunk. The stone wall runs from the center of the image to the left. In the background are more trees, a building and a few vehicles in a parking lot. There's also a iron fence behind the wall. To the right is a street that curves just before the trees and in the foreground, there's another street, possibly a driveway",dci
sa_1546646,a horse and carriage are crossing an intersection. there are cars in the roadway in the background. there is a large building and palm trees lining the street. ,dci
sa_1546649,"A lobster shaped kite. The kite has a dark blue head, claws and tail. The legs are a bright lime green color.",dci
sa_1546654,"This is an airborne men's gymnast doing the horizontal bar in red tights and a white and green tank top.   He is  at in indoor location, the roof is domed with and interior support structure and the stands are empty. ",dci
sa_1546656,Three African American or Black individuals are standing in a field together where trees are shown in the background. ,dci
sa_1546659,There is a brick building that has a lot of windows in the front. There are different items in the windows. ,dci
sa_1546660,A Food stand where there is meat on skewers and people with hoods behind the stall also.  there are other stalls also and there smoke coming up from the grills also,dci
sa_1546661,People are walking across a paved surface to a light colored building near trees.,dci
sa_1546662,A snow-capped mountain range,dci
sa_1546664,"there are a row of pool door with a pair of chrome, circular door knobs. an indoor pool is visible through the glass doors.",dci
sa_1546665,This is an image of many people standing outside. There is a statue of a dog on a pedestal. ,dci
sa_1546668,A street with a left turn arrow in front of a stone wall and brown round building,dci
sa_1546669,An open field with a low os squares of yellow plants. There is a man picking the plants and in the distance there is a line of trees going from left to right ,dci
sa_1546672,A residential area where a housing development is. There is a yellow fence sectioning off homes with cars parked in an irregular sized parking lot. ,dci
sa_1546673,A large plaza that sits along the edge of a body of water. The skyline of a city can be seen in the background on the left. ,dci
sa_1546675,A statue in the middle of a plaza. There are white buildings behind it and a small row of trees on the other side.,dci
sa_1546680,An open lake or sea area with two expensive looking boats that are both huge are on. In the distance there is a hill across the water with a lot of buildings positioned among it and close there is a plant directly in front of the camera,dci
sa_1546681,A winter holiday light show featuring many varieties of lights hanging above a crowd of people that are walking to see them. ,dci
sa_1546683,An open bay where there are a number of boats visible to big red boats. The pier on the left of the image is gray and concrete. The sun is visible in the distance on the right side of the image it is bright orange and in the background is a large building,dci
sa_1546684,An open field with short green grass there is a person playing with a soccer ball and a dof to their left. On the outsides of the field are tall green trees also.,dci
sa_1546691,A silver Volkswagen and a Toyota minivan driving on a road in front of a business with a blue awning and yellow wording. ,dci
sa_1546695,Downtown area of a city where multiple buildings are located as well as traffic from afar. ,dci
sa_1546696,there are three apartment buildings next to each other along a street. there are cars parked along the curb. there is a large tree on the left. ,dci
sa_1546697,Castle style building under a blue sky that is gray and of very old architecture. ,dci
sa_1546700,It shows the outside of a dome shaped glass building with people outside and big buildings in the background.,dci
sa_1546701,"A black and white photo of large buildings with a lot of windows, lining a river.  One of the buildings has a restaurant at the bottom called COURTYARD.",dci
sa_1546703,It shows the outside of a city area with a water area to the left. There are a lot of big buildings and trees.,dci
sa_1546704,Long multistory building behind a manmade lake under a bright blue sunny sky with a painted section on its left.,dci
sa_1546705,It shows an ornate building with gold domes. There are building on the sides and a reflecting pool in the middle.,dci
sa_1546706,It shows a person on an ornate red and gold throne with other people reaching up to him. There is a cream building in the background.,dci
sa_1546708,It shows the top of a city in black and white. There are many tall buildings and mountains in the distance.,dci
sa_1546709,"This is a picture of some ruins outside a more modern building. There are a series of columns that are crumbled and many parts of the building that are on the ground. There is a brick wall thats on the left side, which appears to be held back by another wall. On the far left is a grandstand. In the back is a building with a bunch of windows.",dci
sa_1546711,"This is a picture of a city, an aerial. There is a tree top sticking up in the foreground, a river running behid it. Coming in from the right of the image and going towards the center is a major highway and there's an offramp that curves away and tucks under it. In the middle, on the back of the river, is a bunch of trees. Behind the trees, you see the city. There are larger buildings in the far back, and smaller buildings in the near front.",dci
sa_1546712,"This is a building on a river. The building is three stories with a large main floor. The second and third stories look like apartments, and it has a rooftop terrace The sides of the building are multiple floors tallers and have some crazy shapes at the top. In the front is a large cement wall with an orange railing along it. In front of that is a river, which has multiple long transportation boats on it.",dci
sa_1546713,"This is a picture of a horn player in traditional garb while sitting on a green step. In the background there are more musicians. Below the man is a green stool and grass behind him, while in front of him is some crushed stone. There are multiple green glass jars in front of the players as well as some music sheets on stands.",dci
sa_1546714,A large pen full of cattle with several people looking on. ,dci
sa_1546715,A train travels on a metal bridge which spans over a body of water .  The sky in the background is hazy and gray. ,dci
sa_1546718,"A stone breakwater meets the calm blue sea. On the land, in the foreground, you can see an old stone prison fence. Buildings, trees and a hill are visible on land in the background.",dci
sa_1546720,"This is a picture of a little girl in front of a blurry background. The girl is black, has braided short hair, and is wearing a yellow dress with orange flower petals on it. She has a small gold hoop earring in as well.",dci
sa_1546721,A small curvy mountain road with a hilly town in the distance. Beyond that are more forested mountains with clouds shadows on them.,dci
sa_1546722,Several planes are parked outside of a large airport with many windows. A number of runways are visible. ,dci
sa_1546724,"A gold and black monument in the middle of a park, depicting four men and a tiger.  It stands on a black and gold cubic pedestal with relief images on the side, and is surrounded by some black square monuments and a park filled with grass, trees, and a little pond.",dci
sa_1546726,"This is a painting of a photo of the Leaning Tower of Pisa and a large white government looking building, with lots of people meandering about.   It includes painted in photo film sprocket holes on the top and bottom. ",dci
sa_1546728,A close up of a car seat. The logo is in the middle.,dci
sa_1546729,"This is a picture of a road with a massive walkway in the middle. There's a green patch of grass median with trees, then to the left is a roadway, to the right is another walkway with trees planted in it, and then beyond that is more roadway. There are cars all over both roadways. There are trees all over the median, walkway, and in the background. There are buildings far behind those. There's a few lightposts and sign posts in the picture as well",dci
sa_1546732,"This is a picture of an old building, the bottom half is made of light yellowish tan stone. There are arched windows and an arched entryway, all with white aluminum accenting. The top is white painted brick, with three additional windows form the second floor. Atop the structure is a square with a triangle on it, with a clock in the middle. To the sides of the image are two trees, which cover the plaza area where people are sitting in front of the building - presumed to be a restaurant - at tables eating. The building has a few plants in front and two signs that say Corn Exchange Witney. The sides of the building include more buildings that look about the same.",dci
